[20971, 20972, 20971, 20969, 20973, 20974, 20971, 20972, 20971, 20972, 20974, 20972, 20971, 20972, 20971, 20974, 20973, 20969, 20971, 20972, 20971, 20972, 20969, 20969, 20972, '96 -> 104']
[20966, 20972, 20977, 20968, 20974, 20971, 20966, 20977, 20971, 20967, 20974, 20967, 20971, 20977, 20966, 20971, 20974, 20968, 20977, 20972, 20966, 20977, 20971, 20971, 20977, '104 -> 112']
[20976, 20972, 20968, 20969, 20973, 20976, 20974, 20968, 20968, 20973, 20976, 20973, 20968, 20968, 20974, 20976, 20973, 20969, 20968, 20972, 20976, 20972, 20967, 20967, 20972, '112 -> 120']
[20968, 20970, 20975, 20978, 20969, 20966, 20971, 20974, 20976, 20970, 20964, 20970, 20976, 20974, 20971, 20966, 20969, 20978, 20975, 20970, 20968, 20968, 20977, 20977, 20968, '120 -> 128']
[20975, 20974, 20973, 20972, 20971, 20971, 20970, 20968, 20968, 20968, 20968, 20968, 20968, 20968, 20970, 20971, 20971, 20972, 20973, 20974, 20975, 20975, 20975, 20975, 20975, '128 -> 136']
[20969, 20969, 20970, 20972, 20971, 20972, 20974, 20974, 20975, 20975, 20974, 20975, 20975, 20974, 20974, 20972, 20971, 20972, 20970, 20969, 20969, 20967, 20969, 20969, 20967, '136 -> 144']
[20974, 20973, 20972, 20971, 20971, 20973, 20971, 20968, 20969, 20970, 20970, 20970, 20969, 20968, 20971, 20973, 20971, 20971, 20972, 20973, 20974, 20975, 20972, 20972, 20975, '144 -> 152']
[20968, 20970, 20972, 20972, 20972, 20970, 20972, 20975, 20974, 20973, 20972, 20973, 20974, 20975, 20972, 20970, 20972, 20972, 20972, 20970, 20968, 20969, 20971, 20971, 20969, '152 -> 160']
[20977, 20976, 20975, 20973, 20971, 20969, 20967, 20967, 20966, 20964, 20964, 20964, 20966, 20967, 20967, 20969, 20971, 20973, 20975, 20976, 20977, 20978, 20979, 20979, 20978, '160 -> 168']
[20967, 20967, 20969, 20969, 20972, 20975, 20974, 20977, 20977, 20977, 20980, 20977, 20977, 20977, 20974, 20975, 20972, 20969, 20969, 20967, 20967, 20966, 20964, 20964, 20966, '168 -> 176']
